commune_id,commune,prefecture,region,latitude,longitude,altitude_m,superficie_km2,population_densite,code_postal,type_commune,distance_capitale_km,zone_climatique
autres,autres,vo,maritime,6.2295,1.504,19,343,35,autres,rurale,34,côtière
autres,autres,vo,maritime,6.6892,1.6588,39,398,210,bp 239,semi-urbaine,79,côtière
autres,autres,vo,maritime,6.4158,1.2398,47,215,76,bp 495,rurale,31,côtière
autres,autres,vo,maritime,6.2023,1.618,41,230,95,bp 60,rurale,45,côtière
autres,autres,vo,maritime,6.3068,1.6507,25,318,58,bp 235,rurale,52,côtière
autres,autres,vo,maritime,6.5616,1.1123,57,538,74,autres,rurale,48,côtière
autres,autres,vo,maritime,6.2173,1.2472,17,310,64,autres,rurale,10,côtière
autres,autres,vo,maritime,6.2618,1.5716,23,242,51,autres,rurale,42,côtière
autres,autres,vo,maritime,6.3401,1.5525,9,172,114,bp 145,semi-urbaine,44,côtière
autres,autres,golfe,maritime,6.2115,1.3873,43,303,79,bp 265,rurale,21,côtière
autres,autres,golfe,maritime,6.5814,1.2798,67,360,69,autres,rurale,50,côtière
autres,autres,golfe,maritime,6.6432,1.5084,35,229,92,autres,rurale,65,côtière
autres,autres,golfe,maritime,6.4819,1.4127,66,587,35,autres,rurale,44,côtière
autres,autres,golfe,maritime,6.6165,1.1737,69,190,176,bp 265,semi-urbaine,53,côtière
autres,autres,golfe,maritime,6.4349,1.6223,35,198,291,autres,semi-urbaine,56,côtière
autres,autres,golfe,maritime,6.5254,1.4652,45,474,77,autres,rurale,51,côtière
autres,autres,golfe,maritime,6.272,1.3712,62,554,95,bp 86,rurale,23,côtière
autres,autres,lacs,maritime,6.3144,1.3789,54,249,89,bp 235,rurale,27,côtière
autres,autres,lacs,maritime,6.5493,1.6887,70,337,53,autres,rurale,70,côtière
autres,autres,lacs,maritime,6.35,1.3641,20,258,219,autres,semi-urbaine,29,côtière
autres,autres,lacs,maritime,6.3649,1.4155,61,502,79,autres,rurale,34,côtière
autres,autres,lacs,maritime,6.5684,1.6742,34,504,45,autres,rurale,70,côtière
autres,kouve,lacs,maritime,6.6558,1.2556,49,463,63,autres,rurale,58,côtière
autres,autres,yoto,maritime,6.2225,1.6213,8,393,30,autres,rurale,46,côtière
autres,autres,yoto,maritime,6.4008,1.1897,58,488,25,autres,rurale,29,côtière
autres,kouve,yoto,maritime,6.3459,1.1203,42,466,38,autres,rurale,25,côtière
autres,autres,yoto,maritime,6.3875,1.181,28,251,30,autres,rurale,28,côtière
autres,autres,yoto,maritime,6.357,1.1602,12,352,90,autres,rurale,25,côtière
autres,autres,yoto,maritime,6.1349,1.5794,35,290,50,autres,rurale,41,côtière
autres,autres,yoto,maritime,6.6128,1.6581,17,372,257,autres,semi-urbaine,72,côtière
autres,autres,bas-mono,maritime,6.5195,1.4087,67,420,25,autres,rurale,48,côtière
autres,autres,bas-mono,maritime,6.2308,1.6298,33,292,314,autres,semi-urbaine,47,côtière
autres,autres,bas-mono,maritime,6.6689,1.4203,16,204,25,autres,rurale,63,côtière
autres,autres,bas-mono,maritime,6.4763,1.5815,33,285,307,bp 278,semi-urbaine,56,côtière
autres,autres,zio,maritime,6.5653,1.5996,42,364,37,autres,rurale,64,côtière
autres,autres,zio,maritime,6.1637,1.151,68,239,244,bp 369,semi-urbaine,7,côtière
autres,autres,zio,maritime,6.6939,1.1789,16,278,80,autres,rurale,62,côtière
autres,autres,zio,maritime,6.3759,1.2368,21,417,33,autres,rurale,27,côtière
autres,autres,zio,maritime,6.5883,1.2586,20,342,272,bp 486,semi-urbaine,50,côtière
autres,autres,zio,maritime,6.2196,1.2554,9,550,40,bp 303,rurale,10,côtière
autres,autres,zio,maritime,6.1319,1.4152,58,565,90,bp 251,rurale,22,côtière
autres,autres,zio,maritime,6.3577,1.4918,9,518,85,bp 486,rurale,39,côtière
autres,autres,ave,maritime,6.5429,1.4322,36,565,53,bp 369,rurale,51,côtière
autres,autres,ave,maritime,6.4202,1.4697,49,527,35,autres,rurale,42,côtière
autres,autres,ave,maritime,6.3149,1.1087,28,497,80,bp 251,rurale,23,côtière
autres,autres,ave,maritime,6.5822,1.3666,34,224,269,autres,semi-urbaine,52,côtière
autres,autres,ave,maritime,6.238,1.2078,41,229,48,autres,rurale,11,côtière
autres,autres,ogou,plateaux,7.2962,1.2088,438,151,144,autres,semi-urbaine,129,transition
autres,autres,ogou,plateaux,7.4198,0.6178,204,541,82,autres,rurale,157,transition
autres,autres,ogou,plateaux,7.6443,1.0933,620,271,29,autres,rurale,168,plateau/montagneux
autres,autres,ogou,plateaux,6.8704,0.8606,580,600,61,autres,rurale,90,transition
autres,autres,kloto,plateaux,7.5735,1.3233,454,316,82,autres,rurale,160,savane
autres,autres,kloto,plateaux,7.2998,0.8104,677,234,69,autres,rurale,137,transition
autres,autres,kloto,plateaux,7.5069,0.9189,566,506,78,bp 235,rurale,156,plateau/montagneux
autres,autres,kloto,plateaux,7.2901,1.2688,727,443,73,autres,rurale,128,transition
autres,autres,kloto,plateaux,7.455,0.925,450,474,74,bp 387,rurale,150,transition
autres,autres,amou,plateaux,7.5964,0.9649,783,456,62,autres,rurale,165,plateau/montagneux
autres,autres,amou,plateaux,7.227,1.0165,261,278,277,autres,semi-urbaine,123,transition
autres,autres,amou,plateaux,7.8,0.8909,345,551,92,bp 486,rurale,188,savane
autres,autres,amou,plateaux,6.8628,1.033,554,552,78,bp 359,rurale,83,transition
autres,autres,wawa,plateaux,7.5835,0.8888,293,401,96,bp 145,rurale,165,savane
autres,autres,wawa,plateaux,7.6033,1.393,761,551,26,autres,rurale,164,savane
